,attendance,away_team,away_team_errors,away_team_hits,away_team_runs,date,field_type,game_type,home_team,home_team_errors,home_team_hits,home_team_runs,start_time,venue,day_of_week,temperature,wind_speed,wind_direction,sky,total_runs,game_hours_dec,season,home_team_win,home_team_loss,home_team_outcome
1759,34317,Seattle Mariners,0,11,4,6/4/2016,on grass,Night Game,Texas Rangers,0,14,10,8:07 p.m. Local,Globe Life Park in Arlington,Saturday,82,10, from Left to Right,Cloudy,14,3.15,regular season,1,0,Win
1760,25503,Colorado Rockies,0,9,3,6/4/2016,on grass,Night Game,San Diego Padres,1,12,4,7:11 p.m. Local,Petco Park,Saturday,70,9, from Left to Right,Sunny,7,3,regular season,1,0,Win
1761,31505,Los Angeles Angels of Anaheim,1,11,7,6/4/2016,on grass,Day Game,Pittsburgh Pirates,1,10,8,4:07 p.m. Local,PNC Park,Saturday,81,4, out to Centerfield,Unknown,15,3,regular season,1,0,Win
1762,25177,Milwaukee Brewers,2,10,6,6/4/2016,on grass,Day Game,Philadelphia Phillies,0,7,3,3:07 p.m. Local,Citizens Bank Park,Saturday,83,3, out to Rightfield,Unknown,9,3.416666667,regular season,0,1,Loss
1763,26613,Tampa Bay Rays,2,11,7,6/4/2016,on grass,Day Game,Minnesota Twins,0,11,4,3:10 p.m. Local,Target Field,Saturday,69,13, from Left to Right,Cloudy,11,3.166666667,regular season,0,1,Loss
1765,47126,Atlanta Braves,0,5,0,6/4/2016,on grass,Night Game,Los Angeles Dodgers,1,6,4,7:10 p.m. Local,Dodger Stadium,Saturday,75,7, out to Rightfield,Sunny,4,3.45,regular season,1,0,Win
1767,32916,Chicago White Sox,1,9,4,6/4/2016,on grass,Day Game,Detroit Tigers,0,11,7,4:10 p.m. Local,Comerica Park,Saturday,77,2, in from Centerfield,Unknown,11,3.15,regular season,1,0,Win
1768,23258,Kansas City Royals,0,7,1,6/4/2016,on grass,Night Game,Cleveland Indians,0,12,7,7:47 p.m. Local,Progressive Field,Saturday,72,6, out to Leftfield,Overcast,8,2.8,regular season,1,0,Win
1769,25365,Washington Nationals,2,3,3,6/4/2016,on grass,Day Game,Cincinnati Reds,0,7,6,4:10 p.m. Local,Great American Ball Park,Saturday,77,4, in unknown direction,Overcast,9,2.633333333,regular season,1,0,Win
1770,40415,Arizona Diamondbacks,1,4,3,6/4/2016,on grass,Day Game,Chicago Cubs,0,7,5,1:23 p.m. Local,Wrigley Field,Saturday,68,9, out to Leftfield,Rain,8,2.766666667,regular season,1,0,Win
1771,37762,Toronto Blue Jays,0,4,4,6/4/2016,on grass,Day Game,Boston Red Sox,0,11,6,4:05 p.m. Local,Fenway Park,Saturday,64,10, in from Rightfield,Unknown,10,3.133333333,regular season,1,0,Win
1772,33170,New York Yankees,0,16,8,6/4/2016,on grass,Night Game,Baltimore Orioles,0,8,6,7:18 p.m. Local,Oriole Park at Camden Yards,Saturday,79,5, from Right to Left,Cloudy,14,3.416666667,regular season,0,1,Loss
1773,32395,Seattle Mariners,0,9,3,6/3/2016,on grass,Night Game,Texas Rangers,0,13,7,7:07 p.m. Local,Globe Life Park in Arlington,Friday,78,11, in from Rightfield,Unknown,10,2.866666667,regular season,1,0,Win
1774,43560,San Francisco Giants,1,8,5,6/3/2016,on grass,Night Game,St. Louis Cardinals,0,5,1,7:17 p.m. Local,Busch Stadium III,Friday,74,5, from Right to Left,Drizzle,6,3.183333333,regular season,0,1,Loss
1775,21588,Colorado Rockies,2,2,0,6/3/2016,on grass,Night Game,San Diego Padres,1,4,4,7:41 p.m. Local,Petco Park,Friday,68,9, from Left to Right,Sunny,4,2.433333333,regular season,1,0,Win
1776,27643,Los Angeles Angels of Anaheim,0,15,9,6/3/2016,on grass,Night Game,Pittsburgh Pirates,1,8,2,7:09 p.m. Local,PNC Park,Friday,89,4, out to Leftfield,Cloudy,11,3.283333333,regular season,0,1,Loss
1777,20138,Milwaukee Brewers,0,5,3,6/3/2016,on grass,Night Game,Philadelphia Phillies,1,7,6,7:08 p.m. Local,Citizens Bank Park,Friday,73,5, from Right to Left,Unknown,9,3.05,regular season,1,0,Win
1778,21134,Tampa Bay Rays,0,7,4,6/3/2016,on grass,Night Game,Minnesota Twins,1,8,2,7:11 p.m. Local,Target Field,Friday,67,13, from Right to Left,Overcast,6,3.05,regular season,0,1,Loss
1780,46366,Atlanta Braves,0,7,2,6/3/2016,on grass,Night Game,Los Angeles Dodgers,0,5,4,7:11 p.m. Local,Dodger Stadium,Friday,77,8, out to Rightfield,Sunny,6,2.7,regular season,1,0,Win
1782,31184,Chicago White Sox,0,7,3,6/3/2016,on grass,Night Game,Detroit Tigers,0,14,10,7:10 p.m. Local,Comerica Park,Friday,79,6, from Left to Right,Cloudy,13,3.366666667,regular season,1,0,Win
1783,24753,Kansas City Royals,1,3,1,6/3/2016,on grass,Night Game,Cleveland Indians,0,8,6,7:11 p.m. Local,Progressive Field,Friday,73,5, in from Centerfield,Cloudy,7,2.416666667,regular season,1,0,Win
1784,27258,Washington Nationals,0,7,2,6/3/2016,on grass,Night Game,Cincinnati Reds,0,12,7,7:10 p.m. Local,Great American Ball Park,Friday,81,6, out to Centerfield,Cloudy,9,2.916666667,regular season,1,0,Win
1785,38813,Arizona Diamondbacks,2,6,0,6/3/2016,on grass,Day Game,Chicago Cubs,0,7,6,1:21 p.m. Local,Wrigley Field,Friday,72,9, in unknown direction,Sunny,6,3,regular season,1,0,Win
1786,37129,Toronto Blue Jays,0,7,5,6/3/2016,on grass,Night Game,Boston Red Sox,1,5,2,7:10 p.m. Local,Fenway Park,Friday,67,6, from Right to Left,Cloudy,7,3.166666667,regular season,0,1,Loss
1787,25220,New York Yankees,0,10,5,6/3/2016,on grass,Night Game,Baltimore Orioles,1,11,6,7:08 p.m. Local,Oriole Park at Camden Yards,Friday,74,3, out to Leftfield,Overcast,11,3,regular season,1,0,Win
1788,22588,Seattle Mariners,1,16,16,6/2/2016,on grass,Night Game,San Diego Padres,1,20,13,6:10 p.m. Local,Petco Park,Thursday,76,10, out to Rightfield,Sunny,29,3.833333333,regular season,0,1,Loss
1789,22890,Milwaukee Brewers,1,12,4,6/2/2016,on grass,Night Game,Philadelphia Phillies,0,5,1,7:07 p.m. Local,Citizens Bank Park,Thursday,79,9, from Left to Right,Unknown,5,3.233333333,regular season,0,1,Loss
1790,20193,Tampa Bay Rays,0,9,4,6/2/2016,on grass,Night Game,Minnesota Twins,1,15,6,7:11 p.m. Local,Target Field,Thursday,72,3, out to Centerfield,Sunny,10,2.733333333,regular season,1,0,Win
1792,24050,St. Louis Cardinals,0,4,1,6/1/2016,on grass,Day Game,Milwaukee Brewers,0,6,3,12:41 p.m. Local,Miller Park,Wednesday,76,8, out to Centerfield,Unknown,4,2.333333333,regular season,1,0,Win
1794,30554,Tampa Bay Rays,1,9,3,6/1/2016,on grass,Night Game,Kansas City Royals,0,11,6,7:15 p.m. Local,Kauffman Stadium,Wednesday,81,5, from Left to Right,Cloudy,9,2.75,regular season,1,0,Win
1796,23612,Cincinnati Reds,1,10,7,6/1/2016,on grass,Night Game,Colorado Rockies,2,7,2,6:41 p.m. Local,Coors Field,Wednesday,72,5, from Left to Right,Cloudy,9,2.833333333,regular season,0,1,Loss
1797,10524,Texas Rangers,0,8,4,6/1/2016,on grass,Night Game,Cleveland Indians,0,10,5,6:11 p.m. Local,Progressive Field,Wednesday,72,13, in from Rightfield,Cloudy,9,3.5,regular season,1,0,Win
1798,36426,Los Angeles Dodgers,0,4,1,6/1/2016,on grass,Night Game,Chicago Cubs,0,3,2,7:10 p.m. Local,Wrigley Field,Wednesday,73,5, from Left to Right,Cloudy,3,2.483333333,regular season,1,0,Win
1799,20750,Boston Red Sox,1,15,9,6/1/2016,on grass,Night Game,Baltimore Orioles,1,14,13,7:07 p.m. Local,Oriole Park at Camden Yards,Wednesday,82,8, from Right to Left,Sunny,22,3.966666667,regular season,1,0,Win
1800,15107,San Francisco Giants,0,8,4,6/1/2016,on grass,Night Game,Atlanta Braves,1,7,5,7:10 p.m. Local,Turner Field,Wednesday,80,8, out to Centerfield,Unknown,9,3.633333333,regular season,1,0,Win
1801,35053,Detroit Tigers,0,11,3,6/1/2016,on grass,Day Game,Los Angeles Angels of Anaheim,1,2,0,4:08 p.m. Local,Angel Stadium of Anaheim,Wednesday,74,9, out to Centerfield,Sunny,3,2.916666667,regular season,0,1,Loss
1802,33419,New York Yankees,0,6,1,5/31/2016,on turf,Night Game,Toronto Blue Jays,0,7,4,7:08 p.m. Local,Rogers Centre,Tuesday,73,17, in from Centerfield,Sunny,5,2.616666667,regular season,1,0,Win
1803,16815,San Diego Padres,0,7,4,5/31/2016,on grass,Day Game,Seattle Mariners,0,14,16,12:40 p.m. Local,Safeco Field,Tuesday,67,4, from Left to Right,Sunny,20,3.15,regular season,1,0,Win
1804,18572,Washington Nationals,0,8,5,5/31/2016,on grass,Night Game,Philadelphia Phillies,1,4,1,7:07 p.m. Local,Citizens Bank Park,Tuesday,84,9, in from Leftfield,Cloudy,6,2.9,regular season,0,1,Loss
1805,12767,Minnesota Twins,1,12,4,5/31/2016,on grass,Night Game,Oakland Athletics,0,12,7,7:07 p.m. Local,Oakland-Alameda County Coliseum,Tuesday,72,9, out to Leftfield,Sunny,11,3.233333333,regular season,1,0,Win
1806,32781,Chicago White Sox,2,8,6,5/31/2016,on grass,Night Game,New York Mets,3,8,4,7:10 p.m. Local,Citi Field,Tuesday,79,13, out to Leftfield,Sunny,10,3.033333333,regular season,0,1,Loss
1809,26006,Tampa Bay Rays,0,13,5,5/31/2016,on grass,Night Game,Kansas City Royals,0,18,10,7:15 p.m. Local,Kauffman Stadium,Tuesday,76,4, from Left to Right,Unknown,15,3.45,regular season,1,0,Win
1810,20448,Cincinnati Reds,0,7,4,5/31/2016,on grass,Night Game,Colorado Rockies,1,19,17,6:42 p.m. Local,Coors Field,Tuesday,64,7, in from Centerfield,Unknown,21,3.116666667,regular season,1,0,Win
1811,10428,Texas Rangers,0,11,7,5/31/2016,on grass,Night Game,Cleveland Indians,0,8,3,6:10 p.m. Local,Progressive Field,Tuesday,73,11, in from Rightfield,Cloudy,10,2.85,regular season,0,1,Loss
1812,34681,Los Angeles Dodgers,0,8,5,5/31/2016,on grass,Night Game,Chicago Cubs,2,1,0,7:32 p.m. Local,Wrigley Field,Tuesday,64,2, in from Leftfield,Overcast,5,2.95,regular season,0,1,Loss
1813,17664,Boston Red Sox,0,10,6,5/31/2016,on grass,Night Game,Baltimore Orioles,1,7,2,7:07 p.m. Local,Oriole Park at Camden Yards,Tuesday,83,2, out to Leftfield,Cloudy,8,2.8,regular season,0,1,Loss
1814,15723,San Francisco Giants,0,5,4,5/31/2016,on grass,Night Game,Atlanta Braves,0,1,0,7:10 p.m. Local,Turner Field,Tuesday,89,3, out to Centerfield,Cloudy,4,2.483333333,regular season,0,1,Loss
1816,35125,Detroit Tigers,0,8,9,5/31/2016,on grass,Night Game,Los Angeles Angels of Anaheim,0,17,11,7:07 p.m. Local,Angel Stadium of Anaheim,Tuesday,69,8, out to Rightfield,Sunny,20,3.316666667,regular season,1,0,Win
1817,32921,New York Yankees,0,5,2,5/30/2016,on turf,Night Game,Toronto Blue Jays,0,8,4,7:07 p.m. Local,Rogers Centre,Monday,78,13, in from Leftfield,Sunny,6,2.433333333,regular season,1,0,Win
1818,29764,San Diego Padres,1,9,3,5/30/2016,on grass,Day Game,Seattle Mariners,2,10,9,1:10 p.m. Local,Safeco Field,Monday,63,6, out to Rightfield,Overcast,12,2.933333333,regular season,1,0,Win
1819,21993,Washington Nationals,0,5,4,5/30/2016,on grass,Night Game,Philadelphia Phillies,0,6,3,7:08 p.m. Local,Citizens Bank Park,Monday,73,8, out to Centerfield,Cloudy,7,2.883333333,regular season,0,1,Loss
1820,17248,Minnesota Twins,0,8,2,5/30/2016,on grass,Day Game,Oakland Athletics,0,7,3,1:07 p.m. Local,Oakland-Alameda County Coliseum,Monday,68,10, out to Rightfield,Cloudy,5,2.533333333,regular season,1,0,Win
1821,38339,Chicago White Sox,0,2,0,5/30/2016,on grass,Day Game,New York Mets,0,7,1,1:10 p.m. Local,Citi Field,Monday,79,1, in unknown direction,Unknown,1,2.566666667,regular season,1,0,Win
1822,34569,St. Louis Cardinals,2,12,6,5/30/2016,on grass,Day Game,Milwaukee Brewers,1,5,0,1:11 p.m. Local,Miller Park,Monday,81,6, in from Rightfield,Cloudy,6,2.816666667,regular season,0,1,Loss
1824,32018,Tampa Bay Rays,3,5,2,5/30/2016,on grass,Night Game,Kansas City Royals,1,10,6,7:17 p.m. Local,Kauffman Stadium,Monday,75,12, from Right to Left,Cloudy,8,3.05,regular season,1,0,Win
1825,30608,Cincinnati Reds,0,17,11,5/30/2016,on grass,Day Game,Colorado Rockies,0,11,8,2:13 p.m. Local,Coors Field,Monday,80,4, out to Leftfield,Cloudy,19,3.416666667,regular season,0,1,Loss
1826,14514,Texas Rangers,0,11,9,5/30/2016,on grass,Night Game,Cleveland Indians,4,11,2,6:11 p.m. Local,Progressive Field,Monday,79,3, from Left to Right,Sunny,11,2.6,regular season,0,1,Loss
1827,41470,Los Angeles Dodgers,1,1,0,5/30/2016,on grass,Day Game,Chicago Cubs,0,8,2,4:05 p.m. Local,Wrigley Field,Monday,70,12, out to Leftfield,Sunny,2,2.666666667,regular season,1,0,Win
1828,43926,Boston Red Sox,0,11,7,5/30/2016,on grass,Day Game,Baltimore Orioles,0,4,2,1:40 p.m. Local,Oriole Park at Camden Yards,Monday,81,2, from Right to Left,Cloudy,9,2.9,regular season,0,1,Loss
1829,23147,San Francisco Giants,1,6,3,5/30/2016,on grass,Day Game,Atlanta Braves,2,6,5,1:10 p.m. Local,Turner Field,Monday,88,5, from Left to Right,Cloudy,8,2.616666667,regular season,1,0,Win
1831,38541,Detroit Tigers,1,4,1,5/30/2016,on grass,Night Game,Los Angeles Angels of Anaheim,0,6,5,6:07 p.m. Local,Angel Stadium of Anaheim,Monday,71,8, out to Centerfield,Sunny,6,2.766666667,regular season,1,0,Win
1832,38898,St. Louis Cardinals,0,9,2,5/29/2016,on grass,Day Game,Washington Nationals,0,12,10,1:38 p.m. Local,Nationals Park,Sunday,84,6, out to Leftfield,Unknown,12,3.2,regular season,1,0,Win
1833,47916,Boston Red Sox,0,9,5,5/29/2016,on turf,Day Game,Toronto Blue Jays,0,10,3,1:18 p.m. Local,Rogers Centre,Sunday,75,7, out to Centerfield,Sunny,8,4.116666667,regular season,0,1,Loss
1834,44613,Pittsburgh Pirates,1,8,2,5/29/2016,on grass,Day Game,Texas Rangers,1,7,6,2:08 p.m. Local,Globe Life Park in Arlington,Sunday,85,7, in from Centerfield,Cloudy,8,2.783333333,regular season,1,0,Win
1837,20522,Detroit Tigers,1,5,2,5/29/2016,on grass,Day Game,Oakland Athletics,0,9,4,1:07 p.m. Local,Oakland-Alameda County Coliseum,Sunday,70,10, out to Rightfield,Sunny,6,2.8,regular season,1,0,Win
1838,42287,Los Angeles Dodgers,0,9,4,5/29/2016,on grass,Night Game,New York Mets,2,5,2,8:08 p.m. Local,Citi Field,Sunday,74,17, out to Leftfield,Cloudy,6,3.083333333,regular season,0,1,Loss
1839,34901,Cincinnati Reds,0,9,4,5/29/2016,on grass,Day Game,Milwaukee Brewers,0,8,5,1:12 p.m. Local,Miller Park,Sunday,78,16, out to Rightfield,Unknown,9,3.166666667,regular season,1,0,Win
1840,36624,Chicago White Sox,0,9,4,5/29/2016,on grass,Day Game,Kansas City Royals,0,11,5,1:17 p.m. Local,Kauffman Stadium,Sunday,85,4, from Left to Right,Sunny,9,3.066666667,regular season,1,0,Win
1841,42307,San Francisco Giants,1,17,8,5/29/2016,on grass,Day Game,Colorado Rockies,2,8,3,2:10 p.m. Local,Coors Field,Sunday,74,5, in from Rightfield,Cloudy,11,3.416666667,regular season,0,1,Loss
1842,18565,Baltimore Orioles,1,8,6,5/29/2016,on grass,Day Game,Cleveland Indians,0,8,4,1:11 p.m. Local,Progressive Field,Sunday,83,11, out to Rightfield,Unknown,10,3.233333333,regular season,0,1,Loss
1843,41575,Philadelphia Phillies,1,6,2,5/29/2016,on grass,Day Game,Chicago Cubs,0,10,7,1:21 p.m. Local,Wrigley Field,Sunday,76,20, out to Rightfield,Cloudy,9,2.833333333,regular season,1,0,Win
1844,50247,Miami Marlins,1,10,7,5/29/2016,on grass,Night Game,Atlanta Braves,1,3,3,5:07 p.m. Local,Turner Field,Sunday,87,11, from Left to Right,Cloudy,10,3.3,regular season,0,1,Loss
1846,38274,St. Louis Cardinals,0,12,9,5/28/2016,on grass,Night Game,Washington Nationals,0,7,4,7:17 p.m. Local,Nationals Park,Saturday,87,6, out to Centerfield,Sunny,13,3,regular season,0,1,Loss
1847,48154,Boston Red Sox,3,15,9,5/28/2016,on turf,Day Game,Toronto Blue Jays,2,13,10,1:08 p.m. Local,Rogers Centre,Saturday,71,6, from Right to Left,Sunny,19,3.616666667,regular season,1,0,Win
1848,46950,Pittsburgh Pirates,0,7,2,5/28/2016,on grass,Night Game,Texas Rangers,2,9,5,6:16 p.m. Local,Globe Life Park in Arlington,Saturday,87,11, in from Centerfield,Cloudy,7,3.133333333,regular season,1,0,Win
1851,24154,Detroit Tigers,0,6,3,5/28/2016,on grass,Day Game,Oakland Athletics,1,17,12,1:07 p.m. Local,Oakland-Alameda County Coliseum,Saturday,77,13, out to Rightfield,Cloudy,15,2.95,regular season,1,0,Win
1852,42227,Los Angeles Dodgers,0,14,9,5/28/2016,on grass,Night Game,New York Mets,0,3,1,7:16 p.m. Local,Citi Field,Saturday,84,10, out to Leftfield,Cloudy,10,3.2,regular season,0,1,Loss
1853,30293,Cincinnati Reds,1,11,7,5/28/2016,on grass,Day Game,Milwaukee Brewers,0,7,6,3:12 p.m. Local,Miller Park,Saturday,81,17, in from Rightfield,Sunny,13,3.766666667,regular season,0,1,Loss
1854,31598,Chicago White Sox,0,11,7,5/28/2016,on grass,Day Game,Kansas City Royals,2,12,8,1:14 p.m. Local,Kauffman Stadium,Saturday,74,14, from Left to Right,Cloudy,15,3.366666667,regular season,1,0,Win
1855,39253,San Francisco Giants,1,16,10,5/28/2016,on grass,Day Game,Colorado Rockies,1,9,5,2:11 p.m. Local,Coors Field,Saturday,73,6, from Right to Left,Cloudy,15,3.45,regular season,0,1,Loss
1856,21110,Baltimore Orioles,4,10,4,5/28/2016,on grass,Day Game,Cleveland Indians,0,13,11,4:10 p.m. Local,Progressive Field,Saturday,86,8, out to Rightfield,Cloudy,15,3.033333333,regular season,1,0,Win
1857,41555,Philadelphia Phillies,0,5,1,5/28/2016,on grass,Day Game,Chicago Cubs,0,8,4,1:21 p.m. Local,Wrigley Field,Saturday,75,18, out to Centerfield,Cloudy,5,2.3,regular season,1,0,Win
1858,33879,Miami Marlins,2,7,2,5/28/2016,on grass,Day Game,Atlanta Braves,1,6,7,4:10 p.m. Local,Turner Field,Saturday,85,9, from Right to Left,Sunny,9,3.25,regular season,1,0,Win
1859,23927,San Diego Padres,1,10,7,5/28/2016,on grass,Night Game,Arizona Diamondbacks,1,10,8,7:10 p.m. Local,Chase Field,Saturday,99,9, out to Centerfield,Sunny,15,3.35,regular season,1,0,Win
1860,38176,Houston Astros,0,9,4,5/28/2016,on grass,Night Game,Los Angeles Angels of Anaheim,0,3,2,7:09 p.m. Local,Angel Stadium of Anaheim,Saturday,68,10, out to Rightfield,Cloudy,6,2.766666667,regular season,0,1,Loss
1861,30781,St. Louis Cardinals,2,4,6,5/27/2016,on grass,Night Game,Washington Nationals,0,8,2,7:06 p.m. Local,Nationals Park,Friday,86,11, out to Leftfield,Cloudy,8,2.533333333,regular season,0,1,Loss
1862,46470,Boston Red Sox,0,7,5,5/27/2016,on turf,Night Game,Toronto Blue Jays,1,11,7,7:07 p.m. Local,Rogers Centre,Friday,68,5, out to Centerfield,Unknown,12,2.883333333,regular season,1,0,Win
1863,37645,Pittsburgh Pirates,0,14,9,5/27/2016,on grass,Night Game,Texas Rangers,1,10,1,7:08 p.m. Local,Globe Life Park in Arlington,Friday,80,12, in from Centerfield,Cloudy,10,3.066666667,regular season,0,1,Loss
1866,22498,Detroit Tigers,0,11,4,5/27/2016,on grass,Night Game,Oakland Athletics,0,5,1,7:07 p.m. Local,Oakland-Alameda County Coliseum,Friday,69,11, out to Rightfield,Cloudy,5,2.666666667,regular season,0,1,Loss
1867,43462,Los Angeles Dodgers,0,8,5,5/27/2016,on grass,Night Game,New York Mets,1,9,6,7:11 p.m. Local,Citi Field,Friday,77,9, out to Leftfield,Cloudy,11,3.05,regular season,1,0,Win
1868,20441,Cincinnati Reds,0,6,5,5/27/2016,on grass,Night Game,Milwaukee Brewers,1,14,9,7:11 p.m. Local,Miller Park,Friday,74,10, in from Rightfield,Overcast,14,2.883333333,regular season,1,0,Win
1869,28508,Chicago White Sox,0,8,5,5/27/2016,on grass,Night Game,Kansas City Royals,0,13,7,7:14 p.m. Local,Kauffman Stadium,Friday,73,9, from Right to Left,Unknown,12,2.966666667,regular season,1,0,Win
1870,32901,San Francisco Giants,0,7,2,5/27/2016,on grass,Night Game,Colorado Rockies,2,11,5,7:22 p.m. Local,Coors Field,Friday,56,9, in from Centerfield,Cloudy,7,2.7,regular season,1,0,Win
1871,21054,Baltimore Orioles,0,13,6,5/27/2016,on grass,Night Game,Cleveland Indians,0,10,4,7:11 p.m. Local,Progressive Field,Friday,72,10, in from Rightfield,Cloudy,10,3.15,regular season,0,1,Loss
1872,38941,Philadelphia Phillies,1,10,2,5/27/2016,on grass,Day Game,Chicago Cubs,2,10,6,1:21 p.m. Local,Wrigley Field,Friday,76,8, out to Leftfield,Unknown,8,3.066666667,regular season,1,0,Win
1873,19325,Miami Marlins,0,8,2,5/27/2016,on grass,Night Game,Atlanta Braves,0,14,4,7:36 p.m. Local,Turner Field,Friday,82,10, from Right to Left,Cloudy,6,3.216666667,regular season,1,0,Win
1874,24935,San Diego Padres,1,18,10,5/27/2016,on grass,Night Game,Arizona Diamondbacks,0,6,3,6:40 p.m. Local,Chase Field,Friday,92,9, from Left to Right,Sunny,13,3.316666667,regular season,0,1,Loss
1875,39047,Houston Astros,0,8,2,5/27/2016,on grass,Night Game,Los Angeles Angels of Anaheim,0,9,7,7:09 p.m. Local,Angel Stadium of Anaheim,Friday,67,10, from Right to Left,Sunny,9,2.633333333,regular season,1,0,Win
1876,19227,Oakland Athletics,0,10,3,5/25/2016,on grass,Night Game,Seattle Mariners,0,17,13,7:10 p.m. Local,Safeco Field,Wednesday,62,2, out to Centerfield,Unknown,16,2.783333333,regular season,1,0,Win
1877,20696,Arizona Diamondbacks,1,9,4,5/25/2016,on grass,Night Game,Pittsburgh Pirates,0,11,5,7:07 p.m. Local,PNC Park,Wednesday,81,4, from Right to Left,Sunny,9,3.083333333,regular season,1,0,Win
1878,38959,Toronto Blue Jays,0,11,8,5/25/2016,on grass,Night Game,New York Yankees,1,6,4,7:08 p.m. Local,Yankee Stadium III,Wednesday,86,8, out to Leftfield,Sunny,12,2.983333333,regular season,0,1,Loss
1879,27233,Kansas City Royals,2,11,5,5/25/2016,on grass,Day Game,Minnesota Twins,0,12,7,12:35 p.m. Local,Target Field,Wednesday,69,7, in from Centerfield,Unknown,12,2.8,regular season,1,0,Win
1880,44855,Cincinnati Reds,0,4,1,5/25/2016,on grass,Night Game,Los Angeles Dodgers,0,3,3,7:10 p.m. Local,Dodger Stadium,Wednesday,66,8, out to Rightfield,Sunny,4,2.35,regular season,1,0,Win
1882,31187,Philadelphia Phillies,1,12,8,5/25/2016,on grass,Day Game,Detroit Tigers,3,9,5,1:11 p.m. Local,Comerica Park,Wednesday,82,12, from Right to Left,Sunny,13,3.183333333,regular season,0,1,Loss
1883,22561,Cleveland Indians,3,8,4,5/25/2016,on grass,Day Game,Chicago White Sox,0,9,3,1:10 p.m. Local,U.S. Cellular Field,Wednesday,82,10, in from Rightfield,Cloudy,7,3.033333333,regular season,0,1,Loss
1884,36430,Colorado Rockies,0,10,3,5/25/2016,on grass,Night Game,Boston Red Sox,0,13,10,7:11 p.m. Local,Fenway Park,Wednesday,86,9, out to Rightfield,Cloudy,13,3.15,regular season,1,0,Win
1885,12869,Milwaukee Brewers,0,11,3,5/25/2016,on grass,Night Game,Atlanta Braves,0,9,2,7:09 p.m. Local,Turner Field,Wednesday,84,9, out to Centerfield,Cloudy,5,4.85,regular season,0,1,Loss
1886,33096,New York Mets,0,5,4,5/24/2016,on grass,Night Game,Washington Nationals,0,11,7,7:06 p.m. Local,Nationals Park,Tuesday,83,8, from Left to Right,Cloudy,11,2.8,regular season,1,0,Win
1887,26125,Los Angeles Angels of Anaheim,0,7,1,5/24/2016,on grass,Night Game,Texas Rangers,0,7,4,7:08 p.m. Local,Globe Life Park in Arlington,Tuesday,84,17, from Right to Left,Unknown,5,2.783333333,regular season,1,0,Win
1888,44588,Chicago Cubs,1,15,12,5/24/2016,on grass,Night Game,St. Louis Cardinals,2,7,3,6:11 p.m. Local,Busch Stadium III,Tuesday,73,12, from Right to Left,Overcast,15,3.166666667,regular season,0,1,Loss
1889,41772,San Diego Padres,1,9,2,5/24/2016,on grass,Night Game,San Francisco Giants,1,9,8,7:15 p.m. Local,AT&T Park,Tuesday,59,13, out to Centerfield,Overcast,10,2.85,regular season,1,0,Win
1890,17471,Oakland Athletics,0,9,5,5/24/2016,on grass,Night Game,Seattle Mariners,0,11,6,7:10 p.m. Local,Safeco Field,Tuesday,63,1, in unknown direction,Unknown,11,3.2,regular season,1,0,Win
1891,18415,Arizona Diamondbacks,2,6,1,5/24/2016,on grass,Night Game,Pittsburgh Pirates,0,17,12,7:08 p.m. Local,PNC Park,Tuesday,78,9, out to Leftfield,Sunny,13,3.383333333,regular season,1,0,Win
1892,35174,Toronto Blue Jays,0,2,0,5/24/2016,on grass,Night Game,New York Yankees,0,8,6,7:08 p.m. Local,Yankee Stadium III,Tuesday,69,3, from Left to Right,Overcast,6,2.666666667,regular season,1,0,Win
1893,23541,Kansas City Royals,1,13,7,5/24/2016,on grass,Night Game,Minnesota Twins,2,7,4,7:11 p.m. Local,Target Field,Tuesday,82,5, in from Leftfield,Cloudy,11,3.116666667,regular season,0,1,Loss
1895,42278,Cincinnati Reds,3,3,2,5/24/2016,on grass,Night Game,Los Angeles Dodgers,0,11,8,7:10 p.m. Local,Dodger Stadium,Tuesday,63,6, out to Centerfield,Cloudy,10,3.133333333,regular season,1,0,Win
1897,26531,Philadelphia Phillies,0,5,1,5/24/2016,on grass,Night Game,Detroit Tigers,0,7,3,7:10 p.m. Local,Comerica Park,Tuesday,83,3, in from Centerfield,Cloudy,4,2.633333333,regular season,1,0,Win
1898,21550,Cleveland Indians,0,10,6,5/24/2016,on grass,Night Game,Chicago White Sox,0,6,2,7:10 p.m. Local,U.S. Cellular Field,Tuesday,72,17, from Right to Left,Sunny,8,2.85,regular season,0,1,Loss
1899,36123,Colorado Rockies,1,6,3,5/24/2016,on grass,Night Game,Boston Red Sox,0,12,8,7:10 p.m. Local,Fenway Park,Tuesday,53,8, in from Leftfield,Unknown,11,2.916666667,regular season,1,0,Win
1900,15185,Milwaukee Brewers,1,4,2,5/24/2016,on grass,Night Game,Atlanta Braves,0,5,1,7:10 p.m. Local,Turner Field,Tuesday,83,3, out to Rightfield,Cloudy,3,3.133333333,regular season,0,1,Loss
1901,31264,New York Mets,0,11,7,5/23/2016,on grass,Night Game,Washington Nationals,0,6,1,8:12 p.m. Local,Nationals Park,Monday,61,1, out to Centerfield,Unknown,8,2.55,regular season,0,1,Loss
1902,25298,Los Angeles Angels of Anaheim,1,9,2,5/23/2016,on grass,Night Game,Texas Rangers,0,7,0,7:07 p.m. Local,Globe Life Park in Arlington,Monday,80,11, from Right to Left,Cloudy,2,2.933333333,regular season,0,1,Loss
